product;url;measurement;quantity
pan_frances;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pan-flautita-coto-x-uni/_/A-00044657-00044657-200;kg;1
galletitas_dulces;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-bizcochos-agridulc-9-de-oro-paq-200-grm/_/A-00030178-00030178-200;kg;0.2
galletitas_de_agua;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-galletitas-crackers-clasicas-media-tarde-pack-familiar-x3-unidades-315g/_/A-00532069-00532069-200;kg;0.315
harina_de_trigo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-harina-trigo-000-morixe-paq-1-kgm/_/A-00480051-00480051-200;kg;1
harina_de_maiz;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-polenta-morixe-1kg/_/A-00511516-00511516-200;kg;1
arroz;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-arroz-largo-fino-seleccion-gallo-1kg/_/A-00577882-00577882-200;kg;0.5
fideos_secos;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-espagueti-ciudad-del-lago-paquete-500-gr/_/A-00254590-00254590-200;kg;0.5
asado;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-asado-del-medio-estancias-coto-x-kg/_/A-00047979-00047979-200;kg;1
carnaza_comun;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-carnaza-x-kg/_/A-00041383-00041383-200;kg;1
hueso_con_carne;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-hueso-x-kg/_/A-00000011-00000011-200;kg;1
paleta;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-paleta-del-centro-estancias-coto-x-kg/_/A-00047984-00047984-200;kg;1
carne_picada;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-picada-especial-x-kg/_/A-00069607-00069607-200;kg;1
nalga;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tapa-de-nalga-estancias-coto-x-kg/_/A-00048128-00048128-200;kg;1
higado;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-higado-x-kg/_/A-00000029-00000029-200;kg;1
pechito_de_cerdo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pechito-con-manta-de-cerdo-x-kg/_/A-00017410-00017410-200;kg;1
pollo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pollo-congelado-x-kg/_/A-00042989-00042989-200;kg;1
carne_de_pescado;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-filete-de-merluza-despinado-congelado-x-kg/_/A-00039688-00039688-200;kg;1
mortadela;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mortadela-feteada-campo-austra-xkg/_/A-00034935-00034935-200;kg;1
paleta_cocida;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-paleta-cocida-feteada-paladini-xkg/_/A-00038361-00038361-200;kg;1
salchich¢n;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-salchichon-c-jam-feteado-ebro-xkg/_/A-00034891-00034891-200;kg;1
salame;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-salame-milan-feteado-lario-x-150-grm/_/A-00524793-00524793-200;kg;0.15
aceite_de_girasol;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-aceite-girasol-legitimo-900-cmq/_/A-00102866-00102866-200;l;0.9
margarina_para_cocinar;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-margarina-para-cocina-y-resposteria-danica-200g/_/A-00574863-00574863-200;kg;0.2
leche_fluida;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-leche-entera-yatasto-sachet-1-l/_/A-00162611-00162611-200;l;1
leche_en_polvo_entera;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-leche-en-polvo-la-lechera-nutrifuerza-800g/_/A-00563277-00563277-200;kg;0.8
queso_crema;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-queso-crema-la-paulina-290gr/_/A-00212430-00212430-200;kg;0.29
queso_cuartirolo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cremoso-primera-marca-xkg/_/A-00037672-00037672-200;kg;1
queso_de_rallar;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-reggianito-xkg/_/A-00040610-00040610-200;kg;1
manteca;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-manteca-coto-200-gr/_/A-00008898-00008898-200;kg;0.2
yogur;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yogur-bebible-descremado-sabor-frutilla-milkaut-900g/_/A-00562324-00562324-200;kg;0.9
dulce_de_leche;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-dulce-de-leche-coto-pote-400-gr/_/A-00285028-00285028-200;kg;0.4
huevo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-huevo-blanco-grand-maple-x-30-uni-30-uni/_/A-00032342-00032342-200;unit;30
manzana;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-manzana-comercial-x-kg/_/A-00061002-00061002-200;kg;1
naranja;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-naranja-jugo---xkg/_/A-00061005-00061005-200;kg;1
banana;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-banana-cavendish---xkg/_/A-00000446-00000446-200;kg;1
mandarina;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mandarina-okitsu-x-kg/_/A-00000255-00000255-200;kg;1
pera;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-pera-william----xkg/_/A-00017719-00017719-200;kg;1
batata;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-batata-americana---xkg-1-kgm/_/A-00072044-00072044-200;kg;1
papa;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-papa-blanca----xkg/_/A-00000695-00000695-200;kg;1
acelga;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-acelga-x-uni/_/A-00040156-00040156-200;unit;1
cebolla;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cebolla-a-granel-x-kg/_/A-00000602-00000602-200;kg;1
choclo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-choclo-amarillo---xkg/_/A-00000614-00000614-200;kg;1
lechuga;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lechuga-criolla-x-kg/_/A-00000649-00000649-200;kg;1
tomate_perita;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tomate-perit----xkg/_/A-00000683-00000683-200;kg;1
zanahoria;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-zanahoria-seleccion---xkg/_/A-00000686-00000686-200;kg;1
zapallo;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-zapallo-anco-x-kg/_/A-00000688-00000688-200;kg;1
tomate_envasado;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-tomate-perita-canale-lat-400-gr/_/A-00124508-00124508-200;kg;0.4
arvejas_en_lata;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-arvejas-la-campagnola-300-grm/_/A-00537451-00537451-200;kg;0.3
lentejas_secas;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-lentejas-coto-bolsa-400-gr/_/A-00171605-00171605-200;kg;0.4
azucar;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-azucar-superior-real-ledesma-1kg/_/A-00218834-00218834-200;kg;1
dulce_de_batata;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-dce-batata--xkg-1-kgm/_/A-00042378-00042378-200;kg;1
mermelada;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mermelada-ciruela-emeth----pote-420-gr/_/A-00239579-00239579-200;kg;0.42
sal_fina;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sal-fina--celusal-paq-500-grm/_/A-00011362-00011362-200;kg;0.5
mayonesa;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mayonesa-clasica-hellmanns-950-grm/_/A-00530667-00530667-200;kg;0.95
vinagre;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vinagre-de-alcohol-silva-960ml/_/A-00217862-00217862-200;l;0.960
caldo_concentrado;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-caldo-de-carne-x-12u/_/A-00529764-00529764-200;unit;12
gaseosas;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-gaseosa-doble-cola----botella-3-l-/_/A-00260629-00260629-200;l;1
jugos_concentrados;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-jugo-polvo-frutilla-arcor-sob-18-grm/_/A-00511825-00511825-200;unit;1
soda;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-soda-saldan-sifon-2-l/_/A-00286715-00286715-200;l;1
cerveza;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cerveza--andes--botella-1-l/_/A-00478431-00478431-200;l;1
vino;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vino-tinto-pico-de-oro-1000ml/_/A-00577949-00577949-200;l;1
cafe;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cafe-instantaneo-suave-y-espumo-arlistan-100g/_/A-00574333-00574333-200;kg;0.1
